key,en,fr,es,de
machineLearningTitle,Machine Learning,Apprentissage machine,Aprendizaje de máquinas (Machine Learning),Maschinelles Lernen
machineLearningDefinition,"A machine learning algorithm is a computer program that learns by looking at examples. For instance, machine learning algorithms can learn to recognize objects in a picture by looking at thousands of pictures of different objects. In an EEG BCI, this type of algorithm looks at many instances of someone\'s brain activity and finds an optimal way to recognize what the user is doing.","Un algorithme d\'apprentissage machine est un programme informatique qui apprend à partir d\'exemples. Par exemple, les algorithmes d\'apprentissage machine peuvent apprendre à reconnaître des objets dans une photo en examinant des millers d\'images de différents objets. Dans une ICO basée sur l\'EEG, ce type d\'algorithmes utilise plusieurs exemples de l\'activité électrique cérébrale de l\'utilisateur afin de trouver une manière optimale de reconnaître ce que l\'utilisateur fait.","Un algoritmo de aprendizaje de máquinas es un programa de computadora que aprende a través de ejemplos. Por ejemplo, un algoritmo de aprendizaje de máquinas puede aprender a reconocer objetos en una imagen después de analizar miles de imágenes de diferentes objetos. En una BCI controlada mediante EEG, este tipo de algoritmos analiza diferentes patrones de actividad cerebral y encuentra una manera óptima para reconocer lo que el usuario está haciendo ","Ein maschineller Lernalgorithmus ist ein Computerprogramm, welches aus Beispielen lernt. Angenommen, ein maschineller Lernalgorithmus kann lernen, Objekte in Bildern zu erkennen. Der Algorithmus lernt das, indem er sich tausende von Bildern mi unterschiedlichen Motiven ansieht. In einem EEG BCI versucht der Algorithmus aus verschiedenen Beispielen von Hirnzuständen zu lernen, um optimal einen Zustand aus Hirnwellen herauszulesen, und festzustellen, was der Nutzer vorhat."
,,,,
// bci-02.js,// bci-02.js,// bci-02.js,// bci-02.js,//bci-02.js
chooseCommand,Choose a command,Choisissez une commande,Selecciona un comando,Wähle einen Befehl aus
bciCommands,"This BCI will allow you to execute a command on your phone by switching between two \'brain states\' \n\n First, what do you want this BCI to do?","Cette ICO vous permettra d\'exécuter une commande sur votre téléphone en passant d\'un «état mental» à un autre. \n\n Tout d\'abord, que voulez-vous contrôler avec cette ICO?","Esta BCI te permitirá ejecutar un comando en tu teléfono cuando cambies de un estado cerebral arbitrario a otro. \n\n Primero que nada, ¿qué quieres que esta BCI haga?","Dieses BCI wird es dir ermöglichen, einen Befehl auf deinem Smartphone auszuführen, indem du zwischen zwei \'Hirnzuständen\' wechselst\n\n Entscheide dich zuerst, welchen Befehl du ausführen möchtest:"
offData,"Collect ""OFF"" data",Collecte de l\'EEG pour l\'état activé,Adquisición de EEG para estado OFF,Sammle “AUS”-Daten
onData,"Collect ""ON"" data",Collecte de l\'EEG pour l\'état désactivé,Adquisición de EEG para estado ON,Sammle “EIN”-Daten
step4Title,Step 4,Étape 4,Paso 4,Schritt 4
trainClassifier,Train the classifier,Entraîner le classifieur,Entrena al clasificador,Trainiere den Klassifikator
,,,,
// bci-run.js,// bci-run.js,// bci-run.js,// bci-run.js,//bci-run.js
retrainBci,RE-TRAIN BCI,RÉ-ENTRAÎNER L\'ICO,VOLVER A ENTRENAR A LA BCI,TRAINIERE DAS BCI ERNEUT
endEeg101,END EEG 101,COMPLÉTER EEG 101,CERRAR EEG 101,BEENDE EEG 101
bciRunSlideTitle,USING YOUR MIND TO CONTROL THIS PHONE...,UTILISER VOS PENSÉES POUR CONTRÔLER CE TÉLÉPHONE...,UTILIZANDO TU MENTE PARA CONTROLAR ESTE TELÉFONO...,"BENUTZE DEINE GEDANKEN, UM DAS SMARTPHONE ZU BEDIENEN"
,,,,
// bci-train.js,// bci-train.js,// bci-train.js,// bci-train.js,//bci-train.js
trainSamples,samples,échantillons,muestras,Beispiele
trainStop,STOP,ARRÊTER,ALTO,STOP
trainCollect,COLLECT,ACQUÉRIR,ADQUIRIR,SAMMELN
trainCollectMore,COLLECT MORE (OPTIONAL),ACQUÉRIR,ADQUIRIR MÁS (OPCIONAL),MEHR SAMMELN (OPTIONAL)
trainOn,ON,ON,ON,EIN
trainOff,OFF,OFF,OFF,AUS
trainFitClassifier,FIT CLASSIFIER,ENTRAÎNER LE CLASSIFIEUR,ENTRENAR AL CLASIFICADOR,ANPASSEN DES KLASSIFIKATORS
trainAccuracy,Accuracy,Exactitude,Exactitud,Genauigkeit
trainReFit,RE-FIT,RÉ-ENTRAÎNER,VOLVER A ENTRENAR,ERNEUT ANPASSEN
trainRunIt, RUN IT! ,UTILISER L\'ICO!,¡EJECÚTALO!,LOS GEHT\'S
trainReset,RESET,RECOMMENCER,REINICIAR,ZURÜCKSETZEN
,,,,
// ClassifierInfoDisplayer.js,// ClassifierInfoDisplayer.js,// ClassifierInfoDisplayer.js,// ClassifierInfoDisplayer.js,// ClassifierInfoDisplayer.js
nextTrain,"Next, train the","Ensuite, entraîner le","Ahora, entrena el ","Zunächst, trainiere den "
classifierName,classifier,classifieur,clasificador,Klassifikator
collectedData,"on your data to distinguish between your brain states. \n\n The data you\'ve collected is simply the powers of the different brain waves (δ, θ, α, β) for each electrode in each epoch you collected","sur vos données afin de distinguer entre vos états mentaux. \n\n Les données que vous avez collectées sont simplement la puissance des différentes ondes cérébrales (δ, θ, α, β) pour chaque électrode, à chaque époque","utilizando tus datos para que distinga entre tus dos estados cerebrales. \n\n Los datos que has adquirido son simplemente las potencias de las diferentes ondas cerebrales (δ, θ, α, β) en cada electrodo y en cada segmento que recolectaste","auf deinen Daten, um zwischen den Hirnzuständen zu unterscheiden. \n\n Die Daten, die du gesammelt hast, sind lediglich die Stärken der verschiedenen Hirnwellen (δ, θ, α, β) jeder Elektrode in jedem Zeitschritt"
trainClassifierButton,TRAIN CLASSIFIER,ENTRAÎNER LE CLASSIFIEUR,ENTRENA AL CLASIFICADOR,TRAINIERE DEN KLASSIFIKATOR
classifierTitle2,Classifier,Classifieur,Clasificador ,Klassifikator
classifierPopUp,"A classifier is a type of machine learning algorithm that learns to distinguish between two or more groups by looking at relevant features of these groups. The classifier that we are training here uses the Gaussian Naive Bayes technique to estimate the probability that a data point belongs to two distinct normal distributions. Image from Raizada and Lee, 2013","Un classifieur est un type d\'algorithme d\'apprentissage machine qui apprend à distinguer entre deux groupes (ou plus) en examinant les traits caractéristiques de ces groupes. Le classifieur que nous entraînons ici est un classifieur de Bayes naïf. Ce classifieur estime la probabilité qu\'un exemple appartienne à une de deux distributions normales. Image tirée de Raizada & Lee, 2013","Un clasificador es un tipo de algoritmo de aprendizaje de máquinas que aprende a distinguir entre dos o más grupos a través del análisis de características relevantes de cada grupo. El clasificador bayesiano ingenuo gaussiano, que estamos entrenando aquí, estima la probabilidad de que un punto específico de los datos pertenezca a dos distribuciones normales distintas. La imagen se tomo de Raizada y Lee, 2013","Ein Klassifikator ist eine Art von maschinellem Lernalgorithmus, der zwischen zwei oder mehr verschiedenen Gruppen unterscheiden kann, indem er sich relevante Eigenschaften (Features) dieser Gruppen ansieht. Der hier benutzte Algorithmus benutzt Gaussian Naive Bayes, um die Wahrscheinlichkeit zu schätzen, mit der ein Datenpunkt zu zwei distinkten Normalverteilungen gehört. Bild von Raizada und Lee, 2013"
classifierAccuracy,Accuracy:,Exactitude:,Exactitud:,Genauigkeit:
classifierScore,"This score represents how well the classifier is able to distinguish between the two brain states based on the data you collected. \n\n If you are happy with your classifier\'s score you can run your BCI in real-time! Otherwise, you can start over with new data","Ce score représente à quel point le classifieur est capable de distinguer entre les deux états mentaux, en se basant sur les données que vous avez collectées. \n\n Si vous êtes heureux avec la performance de votre classifieur, vous pouvez maintenant utiliser votre ICO en temps réel ! Autrement, vous pouvez recommencer en collectant de nouvelles données","Este resultado representa que tan bien el clasificador puede distinguir entre los dos estados cerebrales basándose en los datos que adquiriste. \n\n Si estás satisfecho con el resultado de tu clasificador, ¡puedes ejecutar tu BCI en tiempo real! Si no, puedes comenzar de nuevo con la adquisición de datos","Dieser Wert repräsentiert, wie gut der Klassifikator darin ist, zwischen den beiden Hirnzuständen zu unterscheiden. Dies beruht auf den Daten, die du gesammelt hast. \n\n Falls du mit dem Wert des Klassifikators zufrieden bist, kannst du das BCI in Echtzeit laufen lassen! Ansonsten kannst du es mit neuen Daten probieren."
classifierReTrain,RE-TRAIN,RÉ-ENTRAÎNER,VOLVER A ENTRENAR,ERNEUTES TRAINING
crossValidationAcc,Cross-validation accuracy,Exactitude de validation croisée,Exactitud de validación cruzada,Kreuzvalidierungsgenauigkeit
crossValidationDefinition,"Cross-validation is a technique to evaluate the accuracy of predictive algorithms by breaking up an original set of example data into a training set and a test set. The algorithm is trained on this training set and scored on how well it predicts the values of the test set. In k-fold cross-validation, which this BCI uses, this process is repeated a number of times with different randomly selected subsamples of data each time.","La validation croisée est une technique qui permet d\'évaluer l\'exactitude d\'un algorithme de prédiction en divisant un ensemble de données en un ensemble d\'entraînement et un ensemble de test. Cet algorithme est entraîné sur l\'ensemble d\'entraînement, puis sa performance est évaluée sur l\'ensemble de test. Lors d\'une validation croisée à k échantillons (ce que notre ICO utilise), ce processus est répété à plusieurs reprises avec différents sous-échantillonnages.","La validación cruzada es una técnica que evalúa la precisión de la exactitud de un algoritmo. Descompone el conjunto de datos originales en un conjunto de entrenamiento y un conjunto de prueba. El algoritmo es entrenado con el conjunto de entrenamiento y después se evalúa que tan bien clasifica los valores del conjunto de prueba. En una validación con K iteraciones, el tipo que esta BCI utiliza, este proceso es repetido un número K de veces con sub-conjuntos escogidos de manera aleatoria del conjunto original en cada iteración","Kreuzvalidierung ist eine Technik, die dazu benutzt wird, die Genauigkeit von Vorhersagen zu beurteilen, indem der ursprüngliche Datensatz in Test- und Trainingsdaten aufgebrochen wird. Der Algorithmus wird auf den Trainingsdaten trainiert und danach beurteilt, wie gut er die Werte im Testset einordnen kann. Bei k-facher Kreuzvalidierung, welche dieses BCI benutzt, wird dieser Prozess über mehrere Male mit verschiedenen, zufällig ausgewählten, Datenpunkten wiederholt."
,,,,
// DataCollection.js,// DataCollection.js,// DataCollection.js,// DataCollection.js,// DataCollection.js
collecting,Collecting...,Acquisition en cours...,Adquiriendo datos...,Sammeln…
oopsYouOnly,Oops! You only collected,Oups ! Vous n\'avez collecté que,¡Oops! Sólo recolectaste,Ups! Du hast lediglich
epochsOfData,"epochs of data.\n\n Remember, it is important to discard epochs that contain too much noise in order to detect signals from the brain. Try again, ensuring that your headband is fitted correctly and that blinks and movement are kept to a minumum.",époques. \n\n N\'oubliez pas qu\'il est important de se débarasser des époques qui contiennent trop de bruit afin de détecter les signaux qui proviennent du cerveau. Essayez de nouveau en vous assurant que le bandeau est correctement ajusté et en minimisant tout clignement de yeux et mouvements.,"épocas de datos. \n\n Recuerda, es importante descartar las épocas que contienen demasiado ruido para poder detectar de manera más limpia la señal del cerebro. Inténtalo de nuevo, asegurándote que el dispositivo esté colocado de manera correcta y minimizando tus movimientos y tus parpadeos","Epochen gesammelt.\n\n Erinnere dich daran, dass Epochen mit einem zu hohen Störfaktor ignoriert werden. Versuche es erneut, und kontrolliere, ob das Kopfband richtig sitzt und Augenbewegung sowie Blinzeln auf ein Minimum reduziert werden."
letsTeach,"Now, let\'s teach the algorithm the brain state you\'ll use to turn the","Maintenant, apprenons à l\'algorithme l\'état mental que vous utiliserez pour activer la","Ahora, entrenemos al algoritmo con el estado cerebral que vas a utilizar para prender el botón","So, nun lass uns den Algorithmus den Hirnzustand sehen, der dazu dienen soll, das Signal"
closeYourEyes,"ON.\n\n Once again, you can try whatever you want. We recommend closing your eyes and relaxing. Click the button below to start recording another 30 seconds of data.",".\n\n Encore une fois, vous pouvez essayer ce que vous voulez. Nous recommandons de fermer vos yeux et de relaxer. Appuyez sur le bouton ci-dessous pour commencer l\'acquisition de 30 secondes de données.","ON. \n\n Una vez más, haz lo que te plazca. Te recomendamos que cierres tus ojos e intentes relajarte. Da clic en el botón de abajo después de haber recolectado 30 segundos de datos.","EINZUSCHALTEN.\n\n Du kannst hier wieder alles mögliche probieren. Wir empfehlen, dass du deine Augen geöffnet lässt und dich entspannst. Drücke den Knopf unter dem Text, um eine 30-sekündige Aufzeichnung zu starten."
youveCollected,Awesome! You\'ve collected,Génial ! Vous avez collecté,¡Genial! Has recolectado un total de ,Klasse! Du hast
totalCleanData,total epochs of clean data.\n\n The accuracy of machine learning is often dependent on the number of examples given to the algorithm. Consider collecting even more data to make this BCI as accurate as possible!,époques non-bruitées. \n\n L\'exactitude d\'un algorithme d\'apprentissage machine dépend souvent du nombre d\'exemples qui lui sont donnés. Considérez à collecter encore plus de données pour améliorer la performance de votre ICO !,épocas de datos limpios. La exactitud del algoritmo de aprendizaje de máquinas depende muchas veces del número de ejemplos con los que proveas al algoritmo. ¡Considera recolectar inclusive más datos para que tu BCI sea tan exacta como se pueda!,"an sauberen Epochen gesammelt.\n\n Die Genauigkeit des Lernalgorithmus hängt oft von der Anzahl an Beispielen ab. Überlege dir, ob du noch mehr Daten sammeln möchtest, um den Algorithmus noch genauer zu machen!"
letsTeach2,Let\'s teach the algorithm which brain state you\'ll use to keep the,Apprenons à l\'algorithme l\'état mental que vous utiliserez pour désactiver la,Entrenemos al algoritmo con el estado cerebral que usarás para mantener el botón,"Lass uns nun den Algorithmus den Zustand sehen, der dazu dienen soll, das Signal"
eyesOpen,"OFF.\n\n You can try whatever you want, but we recommend keeping your eyes open and concentrating. When you are ready, click to record 30 seconds of data.",".\n\n Vous pouvez essayer ce que vous voulez, mais nous recommandons de garder vos yeux ouverts et de rester concentré. Quand vous êtes prêt, appuyez sur le bouton ci-dessous pour commencer l\'acquisition de 30 secondes de données.","Off.\n\n Puedes intentar lo que quieras, pero te recomendamos mantener tus ojos abiertos y tu atención concentrada en un punto. Cuando estés listo, da clic para recolectar 30 segundos de datos. ","AUSZUSCHALTEN.\n\n Du kannst wieder alles Mögliche probieren. Wir empfehlen, dass du die Augen geöffnet lässt und dich konzentrierst. Wenn du bereit bist, klicke erneut den Knopf um für 30 Sekunden aufzuzeichnen."
totalCleanData2,"total epochs of clean data.\n\n For this BCI, each epoch is one second long. Those with too much noise are discarded.","époques non-bruitées. \n\n Pour cette ICO, chaque époque est d\'une seconde. Les époques avec trop de bruits sont rejetées.","épocas de datos limpios.\n\n Para esta BCI, cada época tiene una duración de 1 segundo. Las épocas con demasiado ruido son descartadas.",Epochen an reinen Daten.\n\n Für dieses BCI ist jede Epoche genau eine Sekunde lang. Solche mit zu viel Störsignalen werden ignoriert.
,,,,
// SideMenu.js,// SideMenu.js,// SideMenu.js,// SideMenu.js,//SideMenu.js
toolsTitle,Tools,Outils,Herramientas,Werkzeuge
eegSandbox,EEG Sandbox,Bac à sable,Zona de Pruebas de EEG,EEG Sandkasten
bciValue,Brain-computer interface,Interface cerveau-ordinateur,Interfaz Cerebro-Computadora,Gehirn-Computer-Interface (BCI)
tutorialTitle,Tutorial,Tutoriel,Tutorial,Tutorial
introductionValue,Introduction,Introduction,Introducción,Einführung
physiologyValue,Physiology,Physiologie,Fisiología,Physiologie
hardwareValue,Hardware,Matériel,Hardware,Hardware
filteringValue,Filtering,Filtrage,Filtrado,Filter
epochingValue,Epoching,Extraction d\'époques,División en épocas,Epochen
artefactValue,Artefact Removal,Extraction des artéfacts ,Remoción de artefactos,Entfernen von Störungen
featureValue,Feature Extraction,Extraction de traits caractéristiques,Extracción de características,Feature-Extraktion
psdValue,Power Spectral Density,Densité spectrale de puissance,Densidad Espectral de Potencia,Spektrale Leistungsdichte
brainWavesValue,Brain Waves,Ondes cérébrales,Ondas Cerebrales,Gehirnwellen
brainComputerInterfaceValue,Brain-Computer Interfaces,Interfaces cerveau-ordinateur,Interfaz Cerebro-Computadora,Gehirn-Computer-Interfaces
howBuildBciValue,How to Build a BCI,Comment construire une ICO,Cómo construir una BCI,Wie man ein BCI baut
infoValue,Information & Acknowledgements,Information et remerciements,Información y Agradecimientos,Information und Danksagung
,,,,
// config.js,// config.js,// config.js,// config.js,// config.js
configLight,the light,la lumière,la luz,das Licht
configVibrate,vibration,vibration,vibración ,vibration
